Image,Name,Class,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: DAPI mean,Nucleus: EpCAM_E-Cadherin mean,Nucleus: cCASP3 mean,Cell: Area,Cell: EpCAM_E-Cadherin mean,Cell: cCASP3 mean,Cytoplasm: EpCAM_E-Cadherin mean,Cytoplasm: cCASP3 mean,Nucleus/Cell area ratio
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,PathCellObject,,101.71,76.58,50,167.8878,225.5366,219.6341,147,182.9949,183.9286,160.2245,164.8172,0.3398
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,PathCellObject,,115.1,77.8,32,242.782,201.4286,169.8872,117.75,164.9683,163.3087,150.7059,160.7353,0.2756
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,146.28,87.38,82.25,201.5849,837.4303,213.2485,198.75,1470.8129,189.2802,1919.3455,172.3069,0.4131
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,PathCellObject,,87.46,87.91,30.25,241.6111,246.0714,178.6349,105.25,187.5765,169.9223,162.9264,166.2508,0.2813
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,PathCellObject,,104.02,88.78,34.5,256.4225,287.2606,187.5845,113.25,207.2259,177.3399,171.0318,172.707,0.3
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,PathCellObject,,94.47,95.29,25,290.2039,266.7573,179.2719,90,189.2617,169.7713,158.5615,166.0077,0.2719
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,PathCellObject,,109.31,105.96,126.75,166.8148,302.6452,233.3177,276.75,247.4523,232.7396,200.0251,232.2429,0.4595
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,159.73,146.32,69,226.6821,462.025,279.5679,173.25,445.1036,236.9583,433.6867,208.2096,0.4019
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,PathCellObject,,111.92,147,29.75,318.3171,274.2764,188.7805,109.5,185.8685,176.6825,151.673,172.0031,0.2642
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,147.94,151.27,24.75,443.01,503.77,208.9,94.25,431.6553,203.6921,405.9,201.8321,0.2449
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,171.02,157.72,84.25,289.8118,436.4706,246.95,206,407.4626,213.5242,387.252,190.2357,0.4094
B37_Ascites_2023.11.10_DOC2023.10.05_Paclitaxel_100_uM_Rep_EpCAM_Ecad_cCasp3_(series 01).tif,EpCAM_E-Cadherin,EpCAM_E-Cadherin,157.28,156.65,11,160.9583,577.8542,245.2917,62.25,635.1075,241.5857,648.6453,240.7094,0.1718
